E_mm_a,E_mm_n_left,E_mm_n_right
-1.5060000000000533,-1.99,2.5
-1.5050000000000534,-1.99,2.5
-1.5040000000000535,-1.99,2.5
-1.5030000000000536,-1.99,2.5
-1.5020000000000537,-1.99,2.5
-1.5010000000000538,-1.99,2.5
-1.500000000000054,-1.99,2.5
-1.499000000000054,-1.99,2.5
-1.4980000000000542,-1.99,2.5
-1.4970000000000543,-1.99,2.5
-1.4960000000000544,-1.99,2.5
-1.4950000000000545,-1.99,2.5
-1.4940000000000546,-1.99,2.5
-1.4930000000000547,-1.99,2.5
-1.4920000000000548,-1.99,2.5
-1.491000000000055,-1.99,2.5
-1.490000000000055,-1.99,2.5
-1.4890000000000552,-1.99,2.5
-1.4880000000000553,-1.99,2.5
-1.4870000000000554,-1.99,2.5
-1.4860000000000555,-1.99,2.5
-1.4850000000000556,-1.99,2.5
-1.4840000000000557,-1.99,2.5
-1.4830000000000558,-1.99,2.5
-1.482000000000056,-1.99,2.5
-1.481000000000056,-1.99,2.5
-1.4800000000000562,-1.99,2.5
-1.4790000000000563,-1.99,2.5
-1.4780000000000564,-1.99,2.5
-1.4770000000000565,-1.99,2.5
-1.4760000000000566,-1.99,2.5
-1.4750000000000567,-1.99,2.5
-1.4740000000000568,-1.99,2.5
-1.473000000000057,-1.99,2.5
-1.472000000000057,-1.99,2.5
-1.4710000000000572,-1.99,2.5
-1.4700000000000573,-1.99,2.5
-1.4690000000000574,-1.99,2.5
-1.4680000000000575,-1.99,2.5
-1.4670000000000576,-1.99,2.5
-1.4660000000000577,-1.99,2.5
-1.4650000000000578,-1.99,2.5
-1.464000000000058,-1.99,2.5
-1.463000000000058,-1.99,2.5
-1.4620000000000581,-1.99,2.5
-1.4610000000000583,-1.99,2.5
-1.4600000000000584,-1.99,2.5
-1.4590000000000585,-1.99,2.5
-1.4580000000000586,-1.99,2.5
-1.4570000000000587,-1.99,2.5
-1.4560000000000588,-1.99,2.5
-1.455000000000059,-1.99,2.5
-1.454000000000059,-1.99,2.5
-1.4530000000000591,-1.99,2.5
-1.4520000000000592,-1.99,2.5
-1.4510000000000594,-1.99,2.5
-1.4500000000000595,-1.99,2.5
-1.4490000000000596,-1.99,2.5
-1.4480000000000597,-1.99,2.5
-1.4470000000000598,-1.99,2.5
-1.44600000000006,-1.99,2.5
-1.44500000000006,-1.99,2.5
-1.4440000000000601,-1.99,2.5
-1.4430000000000602,-1.99,2.5
-1.4420000000000603,-1.99,2.5
-1.4410000000000605,-1.99,2.5
-1.4400000000000606,-1.99,2.5
-1.4390000000000607,-1.99,2.5
-1.4380000000000608,-1.99,2.5
-1.437000000000061,-1.99,2.5
-1.436000000000061,-1.99,2.5
-1.4350000000000611,-1.99,2.5
-1.4340000000000612,-1.99,2.5
-1.4330000000000613,-1.99,2.5
-1.4320000000000614,-1.99,2.5
-1.4310000000000616,-1.99,2.5
-1.4300000000000617,-1.99,2.5
-1.4290000000000618,-1.99,2.5
-1.4280000000000619,-1.99,2.5
-1.427000000000062,-1.99,2.5
-1.426000000000062,-1.99,2.5
-1.4250000000000622,-1.99,2.5
-1.4240000000000623,-1.99,2.5
-1.4230000000000624,-1.99,2.5
-1.4220000000000625,-1.99,2.5
-1.4210000000000627,-1.99,2.5
-1.4200000000000628,-1.99,2.5
-1.4190000000000629,-1.99,2.5
-1.418000000000063,-1.99,2.5
-1.417000000000063,-1.99,2.5
-1.4160000000000632,-1.99,2.5
-1.4150000000000633,-1.99,2.5
-1.4140000000000634,-1.99,2.5
-1.4130000000000635,-1.99,2.5
-1.4120000000000636,-1.99,2.5
-1.4110000000000638,-1.99,2.5
-1.4100000000000639,-1.99,2.5
-1.409000000000064,-1.99,2.5
-1.408000000000064,-1.99,2.5
-1.4070000000000642,-1.99,2.5
-1.4060000000000643,-1.99,2.5
-1.4050000000000644,-1.99,2.5
-1.4040000000000645,-1.99,2.5
-1.4030000000000646,-1.99,2.5
-1.4020000000000647,-1.99,2.5
-1.4010000000000649,-1.99,2.5
-1.400000000000065,-1.99,2.5
-1.399000000000065,-1.99,2.5
-1.3980000000000652,-1.99,2.5
-1.3970000000000653,-1.99,2.5
-1.3960000000000654,-1.99,2.5
-1.3950000000000655,-1.99,2.5
-1.3940000000000656,-1.99,2.5
-1.3930000000000657,-1.99,2.5
-1.3920000000000659,-1.99,2.5
-1.391000000000066,-1.99,2.5
-1.390000000000066,-1.99,2.5
-1.3890000000000662,-1.99,2.5
-1.3880000000000663,-1.99,2.5
