,i1,i2,dmu,mu_a1,mu_b1,mu_c1,phi_a1,phi_b1,phi_c1,mu_a2,mu_b2,mu_c2,phi_a2,phi_b2,phi_c2
132974,48045,568,0.0879053675351874,-0.1111548880562547,-64.18051898835186,-4.238230888602104,0.1644456885269739,0.5280936454849499,0.3074606659880762,-0.0269625437019804,-64.16008329766215,-4.223351865123991,0.8595203297502266,0.1066889632107023,0.033790707039071
132975,48046,685,0.0829225253323666,-0.1091128885815773,-63.96692528641165,-4.250825058288887,0.1660172816858871,0.5280936454849499,0.305889072829163,-0.0271293520992083,-63.96510393713602,-4.238515401910367,0.8579096095121979,0.1083612040133779,0.0337291864744242
132976,48047,802,0.0822798376667027,-0.1071605066683365,-63.75333158447141,-4.263445625187967,0.1675888748448004,0.5280936454849499,0.3043174796702497,-0.0273071300549545,-63.77060098082592,-4.253689710087308,0.8562988892741692,0.1100334448160535,0.0336676659097772
132977,48048,1388,0.0846903494498067,-0.1052960693161682,-63.53973788253123,-4.276092862654366,0.1691604680037136,0.5280936454849499,0.3027458865113366,-0.028700521249926,-63.55192758422544,-4.242078329305097,0.8453034641670675,0.1183946488294314,0.036301887003501
132978,48049,1506,0.086771706892977,-0.1035179499397094,-63.32614418059099,-4.288767048311286,0.1707320611626268,0.5280936454849499,0.3011742933524233,-0.028906158764423,-63.35730862041399,-4.257283919094915,0.8436983367076432,0.120066889632107,0.0362347736602498
132979,48050,2099,0.0872803182582839,-0.1018245666673598,-63.112550478650775,-4.301468464139431,0.17230365432154,0.5280936454849499,0.2996027001935101,-0.0302278014831521,-63.12068725195175,-4.252218590122604,0.8327644321651884,0.1284280936454849,0.0388074741893266
132980,48051,2219,0.08815457641032,-0.1002143807172835,-62.89895677671056,-4.314197396568685,0.1738752474804532,0.5280936454849499,0.2980311070345969,-0.0304638127230491,-62.92581684963472,-4.267457434126749,0.8311648974843682,0.1301003344481605,0.0387347680674712
132981,48052,2822,0.0903813658436424,-0.0986858948464743,-62.68536307477034,-4.3269541365722,0.1754468406393664,0.5280936454849499,0.2964595138756837,-0.0317324640164587,-62.67087919925828,-4.267994432180101,0.8202925135065603,0.1384615384615384,0.0412459480319012
132982,48053,2943,0.086370413784306,-0.0972376518689808,-62.47176937283014,-4.339738979763,0.1770184337982796,0.5280936454849499,0.2948879207167705,-0.0320013804359405,-62.47566516333626,-4.283268632826583,0.8186985716043443,0.140133779264214,0.0411676491314416
132983,48054,1743,0.0756461179247484,-0.0958682332396183,-62.258175670889926,-4.352552226493152,0.1785900269571928,0.5280936454849499,0.2933163275578573,-0.0291258665691779,-62.23092845939256,-4.37547342004696,0.84341312736994,0.1234113712374582,0.0331755013926017
132984,48055,1862,0.0700536617414031,-0.0945762576997266,-62.044581968949714,-4.365394181955609,0.180161620116106,0.5280936454849499,0.2917447343989441,-0.0294029770022717,-62.04042462031607,-4.390745226487304,0.8418024071319113,0.1250836120401338,0.0331139808279548
132985,48056,2461,0.0642597748415965,-0.0933603799817428,-61.830988267009474,-4.378265156288807,0.1817332132750193,0.5280936454849499,0.2901731412400308,-0.0309567950159355,-61.815691759766665,-4.379327282589515,0.830857317032248,0.1334448160535117,0.0356978669142403
132986,48057,2582,0.0615057767551072,-0.0922192895695439,-61.61739456506929,-4.391165464684087,0.1833048064339325,0.5280936454849499,0.2886015480811177,-0.0312640279523134,-61.62483732909088,-4.394632728611596,0.8292521895728235,0.1351170568561873,0.0356307535709891
132987,48058,3188,0.0641414239638102,-0.0911517095117142,-61.40380086312905,-4.404095427496074,0.1848763995928457,0.5280936454849499,0.2870299549222044,-0.0327665656994693,-61.38143439231578,-4.389776271323729,0.8183686200378071,0.1434782608695652,0.0381531190926276
132988,48059,3310,0.0582856270960494,-0.0901563952850292,-61.19020716118884,-4.417055370356061,0.1864479927517589,0.5280936454849499,0.2854583617632912,-0.0331064615548992,-61.19015416792733,-4.405117339568626,0.8167690853569871,0.1451505016722408,0.038080412970772
132989,48060,3432,0.0609518073129774,-0.089232133705654,-60.97661345924863,-4.430045624288537,0.1880195859106721,0.5280936454849499,0.283886768604378,-0.0334579738812495,-60.99925567996662,-4.420469834422549,0.8151695506761668,0.1468227424749164,0.0380077068489168
132990,48061,4046,0.0636262774655523,-0.0883777418856479,-60.763019757308406,-4.44306652583095,0.1895911790695853,0.5280936454849499,0.2823151754454648,-0.0349517280378805,-60.73621714904591,-4.421258627748178,0.8043530944844018,0.1551839464882943,0.0404629590273038
132991,48062,4171,0.055951360200378,-0.087592066232546,-60.5494260553682,-4.456118417156805,0.1911627722284985,0.5280936454849499,0.2807435822865516,-0.0353387222830415,-60.54483371554309,-4.43664912930907,0.8027591525821859,0.1568561872909699,0.0403846601268442
132992,48063,4296,0.0568555809008676,-0.0868739814898968,-60.33583235342799,-4.469201646202224,0.1927343653874117,0.5280936454849499,0.2791719891276384,-0.0357376086625585,-60.353818332265696,-4.452051339531844,0.8011652106799702,0.1585284280936454,0.0403063612263843
132993,48064,3555,0.0636776987415324,-0.0862223898167584,-60.12223865148778,-4.482316566796079,0.1943059585463249,0.5280936454849499,0.2776003959687252,-0.0341320694787137,-60.11198996319352,-4.517479220739496,0.8164111698974285,0.1484949832775919,0.0350938468249795
132994,48065,5049,0.0603359670024439,-0.085636219904277,-59.908644949547536,-4.495463538793808,0.1958775517052381,0.5280936454849499,0.2760288028098119,-0.0376836645268731,-59.8795821470285,-4.473184964857477,0.7888275187078445,0.1685618729096989,0.0426106083824565
132995,48066,5175,0.0514928714341973,-0.0851144261275582,-59.69505124760733,-4.508642928215068,0.1974491448641514,0.5280936454849499,0.2744572096508987,-0.0381330508406165,-59.68840776581712,-4.48863967012071,0.7872391695842328,0.1702341137123745,0.0425267167033926
132996,48067,5302,0.0519317944049217,-0.0846559877311659,-59.48145754566711,-4.52185510738533,0.1990207380230646,0.5280936454849499,0.2728856164919855,-0.0385946258974162,-59.49758965845865,-4.504106384811113,0.7856508204606213,0.1719063545150501,0.0424428250243285
132997,48068,6328,0.0585876436012267,-0.0842599080466497,-59.2678638437269,-4.535100455081562,0.2005923311819778,0.5280936454849499,0.2713140233330723,-0.0407207869695203,-59.25920302401451,-4.49686634569629,0.767507801926153,0.1852842809364548,0.0472079171373921
132998,48069,5176,0.0540683476882617,-0.0839252137406085,-59.05427014178669,-4.548379356682149,0.202163924340891,0.5280936454849499,0.2697424301741591,-0.0388641240907769,-59.02682467032902,-4.560195892459396,0.7900076173644589,0.1702341137123745,0.0397582689231665
132999,48070,5303,0.0464953306050338,-0.0836509540918677,-58.84067643984648,-4.561692204321197,0.2037355174998042,0.5280936454849499,0.2681708370152459,-0.0393587208528582,-58.8386736894297,-4.5756923055187135,0.7884136754622432,0.1719063545150501,0.0396799700227066
133000,48071,6329,0.0444741353106421,-0.0834362002964299,-58.62708273790626,-4.575039397047356,0.2053071106587174,0.5280936454849499,0.2665992438563327,-0.0417181763622579,-58.62143013378737,-4.560700524799783,0.7702259146989408,0.1852842809364548,0.0444898043646043
133001,48072,6459,0.0462803105053221,-0.0832800447989288,-58.41348903596605,-4.588421340987354,0.2068787038176306,0.5280936454849499,0.2650276506974195,-0.0422586967440396,-58.4311218141905,-4.576247546331776,0.7686431583539334,0.1869565217391304,0.0444003199069361
133002,48073,6200,0.0509504132284099,-0.0831816006493775,-58.19989533402584,-4.601838449514389,0.2084502969765438,0.5280936454849499,0.2634560575385063,-0.0421683328613605,-58.171688153024185,-4.612710956742901,0.7745323765953401,0.1836120401337792,0.0418555832708806
133003,48074,6330,0.0425286211285573,-0.0831400008840803,-57.9863016320856,-4.615291143421556,0.210021890135457,0.5280936454849499,0.261884464379593,-0.042728019540854,-57.983657243560216,-4.628274308996174,0.7729440274717285,0.1852842809364548,0.0417716915918166
133273,48344,685,0.0943978116934793,-0.1175558309318633,-63.99141107585124,-4.244990989224522,0.1622980391718213,0.5297658862876254,0.3079360745405531,-0.0271293520992083,-63.96510393713602,-4.238515401910367,0.8579096095121979,0.1083612040133779,0.0337291864744242
133274,48345,802,0.0886284154231472,-0.1154196892195336,-63.779331677189816,-4.257555958771489,0.1638640395521302,0.5297658862876254,0.3063700741602443,-0.0273071300549545,-63.77060098082592,-4.253689710087308,0.8562988892741692,0.1100334448160535,0.0336676659097772
