TE | M_tot | aa | na | an | nn | S_tot | aa | na | an | nn | timestep 
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 261
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 262
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 263
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 264
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 265
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 266
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 267
-89.6 | 12 | 12 | 0 | 0 | 0 | 24 | 20 | 3 | 1 | 0 | 268
-89.6 | 12 | 12 | 0 | 0 | 0 | 24 | 20 | 3 | 1 | 0 | 269
-89.6 | 12 | 12 | 0 | 0 | 0 | 24 | 20 | 3 | 1 | 0 | 270
-89.2 | 12 | 12 | 0 | 0 | 0 | 24 | 19 | 3 | 2 | 0 | 271
-89.2 | 12 | 12 | 0 | 0 | 0 | 24 | 19 | 3 | 2 | 0 | 272
-89.2 | 12 | 12 | 0 | 0 | 0 | 24 | 19 | 3 | 2 | 0 | 273
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 274
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 275
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 276
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 277
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 278
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 279
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 280
-88.4 | 10 | 10 | 0 | 0 | 0 | 28 | 23 | 3 | 2 | 0 | 281
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 282
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 283
-86.4 | 7 | 7 | 0 | 0 | 0 | 34 | 27 | 4 | 3 | 0 | 284
